status,rows,share_pct,age_first_funding_year_median,age_last_funding_year_median,relationships_median,funding_rounds_median,funding_total_usd_median,milestones_median,age_first_milestone_year_median,age_last_milestone_year_median,avg_participants_median
acquired,597,64.68,1.4466,3.7562,7.0,2.0,12700000.0,2.0,3.0,5.0027,2.6667
closed,326,35.32,1.4384,2.7192,3.0,2.0,5000000.0,1.0,1.2521,2.8219,2.0
